text,target
karen khachanov saçmalıyorsun amk o sik boyluya kaybetmeyi düşünmüyorsun umarım,3
ne olursa olsun ne yaparsa yapsin sen kimsenin canini alamazsin orospu çocu,3
 helal olsun istersen sen de benimle gelip bu zeka ile alevin pezevenkliğini üstlenebilirsin,3
elif kes inşallah gidersin de kurtuluruz senden,0
 kaşınmışlar yapma göte duymuyordum için  güzelim yaşanır taşlar sahasına  elması,3
beni karalamaya devam edin nolur herkesi bana düşman edin kaltak gibi arkamdan konuşun inandırın herkesi,2
bu suriyeli teroristleri bu ülkeye alanın httpstcohapaztrza,1
at gibi kız değilsin ama at gibi kalın boynun var boyun önemli bizimle değilsin,2
baktım çözüleceği yok bi düğümde ben attım koduğumun dertlerine,3
ne kadar ermeni tohumu varsa tweetin altına toplanmış httpstcoscfvnbeecf,1
 çok da değil yani hepsi aynı tırt ,0
aq suriyelileri   saat kavga gürültü tam polisi gelir terörist gibi susarlar aq,1
ben sana küs değilim ki ben seni sildim,0
 sarhoşken verilen söz tutulmazsa götlüğe girer,3
 yoo ben şampiyon da olamazsınız dedim ibnelere,3
size rağmen mezun oldum amına koduğumun göt lalesi hocaları o belge de hepinizin götüne girsin,3
kendinden çok sevdiğine değer verince kaybediyorsun kendine olan saygını siktir edin ,3
yine türkçeyi yeni öğrenmiş ingiliz askeri gibi yazmışım aq ölabilirim,1
aptal orospu çocuğu ya neler diyoruz hala alınmıyor beyinsiz piç kurusu,3
 bahçeli bi bas git hele    milletin tamamı cahil gibi saçmalayıp durduğun yeter artık,0
yalanın iftiranın sınırı yok meslek edinmişsiniz atın atabildiğiniz kadar,0
uykum geldi napıyım aq taktik verin,3
  ağızlarına veriyorlar demek istedin zaaaar,0
aman cokta sikimde vedat kim sanki,3
arkadaşlar kürtlerde kaçakçılık meyli olmayan ya ermenidir ya zaza ,1
kendini zeki sanan aptal orospu çocukları insanı yormayın ya sus siktir git tamam,3
 eski fetöcü tevfik göksuyu dikkate almıyorum şahsen kimin ne olduğunu biliyoruzeşek değiliz,0
damarıma basın sonra bedirhan çok kötü biri diye ağlayın hayatınızı sikicem daha hayatınızı,3
kürt sen içme başı götü dağıtıyon sonra httpstcozpepjuzv,1
ağız tadıyla içtiğimiz bi winston light vardı onunda anasını siktiniz,3
gerçekten siz ruh hastasısınız benim bile fake hesabımı açtınız ya helal olsun,0
evet sevgilisi olan bi adamı artık grubunda olmadığı biriyle shiplemen çok saygısızca siktir git bu siteden,3
biraz önce sevmediğim kızın instagramina denk geldim ahahahaha bir kez daha ne kadar  kaltak olduğunu gördüm,3
gidene dur dersen gtü kalkıyor git dersen u dönüşü yapıp geri geliyor,3
erkekler kalbini vereni değil götünü vereni tercih ediyor,2
ailenin bile karışmadığı şeylere sürekli muhalefet olan akraba bundan daha parazit canlı türü yok,0
yalan foto aw bu kız iki eliyle tutuyo aynayı fotoda tek eli göğsünde çıkmış,2
     beton kafaların son çırpınışlari kesime götürülen boğa gibi bagiriyolar sadece ,0
sabah sabah yine mal mal tiplerle uğraşıyoruz burnuna kalem sokabilsem keşke senin,0
ne bok olduklarını bildiğim ama bildiğimin farkında olmayan etrafımda bulunan sürüngen tayfa,0
 sen kimsin bana böyle konuşuyosun amk siktir git,3
    al işte bak kasindin şimdi  kaybol yazma bi daha ağzımi actirma,0
 teriminin tassaginida yalasa bu saatten sonra arda ölüdür  ve ölüler asla konusmaz,3
 haydi len boykotcu ibne sana kalsa şimdi yıldırım belediye başkanı idi,3
yarın soka çıkıcam zevkine suriyeli dövücem amk,1
   bu adam ne demek istiyor reis ne demek istemiş bu adam neresinden anlamış amacın ne senin,0
  düşünceleri ve duyguları kanser olmuş birine laf anlatmak çok zorumarım siteyi terk eder,0
 video baskasına ait mallar bide cevap yazıyor karın harika diye,0
  amına kodumun zencisi ben de senin koca götünü sikeyim piç orospu çocuğu,1
sikem sokam yoklama alıyor hoca pijamanın üstüne kot giydim okula koşuyom,3
sen erkeksin yaa bi götün başın ayrı oynamasın,2
bu ekonomide anca oğlan seviştirmek çare olabilir,2
içten içe küfürehayırdiyorum çünkü ben küfür etmeyi seninle öğrendim anasını siktiğimin kızı,3
 ne bülent uygunu amk salak salak işler yapmayin,3
ateşin bol olsun şu mübarek günün vesilesiyle hiç üzülmedim sana kadirmısıroğlu,0
siktiğimin beyinsizi artık takip edip unflama gt yapmicam yeteeeer,3
balon gibisin güzelim zirvedesin ama için boş,0
  paran neyse vereyim de ötede oyna,0
suriyeli sevgili yapıcam en azından gitmiyorlar amk,1
ergin piçinin de provokasyon yapmasından doğal bir şey yok adamın kanı bozuk,3
 önce çıplak görseydik ne bilelim amk,3
 yıllık ülkenin tüm birikimlerini zimmetlerine geçirdiler vatan millet hainlerigavur dölleri,3
denize döktüğümüz yunan canan kaftancıoğlu nu kurtarmaya gelecekmiş onların kocaları şimdi yorgo,1
kendi fotolarınla niye slayt yapıp rus mafya müzikleri koyuyosun amın feryadııı ,3
 aaaa balık hiç sevmem aşırı duygusal sümüklü balıkları ben koçum ne işim olur balıkla ,0
 utanmadan ve yüzün kızarmadan o kadar rahat yalan söylüyorsun ki vicdanın bile seni reddedecek durumda,0
 kim yalan söylüyorsa allah belasını versin  milyon üstünden geçsin,0
 malmısın niye öyle duruyorsun derim heralde,0
türkün ekmeğini yiyip gavur için kılıç sallayan süzme ajanlardır onlar,1
  kesinlikle inanma   yobazdan bi  olmaz,0
günaydin hem de orul orul orospu çocuklarina bile,3
siz şaka mısınız amına koyayim ülkede gündem mi kalmadı amk abazaları,3
 aklımızla dalga geçiliyorhoca şapkadan tavşan çıkarmaya uğraşınca sonuç bu olur,0
bir daha büyüklük yapanın amına koysunlar bunu da yazıyorum buraya,3
   anladım seninle şu platform da karşılaşmamak icin dua edicem kssjns,0
sana köpek gibi yazasım var ama nah yazarım,0
bana böyle saçma msjlar atmayın sikerim belanızı  amına godumun topu,3
 benim olsan keşke içinden hiç çıkmam senin senin gibi bi azgın karım olsa keşke,3
laf sokmak senin zeka seviyendeki bi insan için oldukça iddialı bir girişim ama çabanı takdir ettim doğrusu,0
 dinledim ben orada olsam mutlaka bağırırdım yeter bu kadar haksızlık yaptığın chp ye diye,0
                  profilinizde ki miskine dedim size demedim ,0
sizin gibi fikirsizler iş güç ve söz sahibi yapıldığı için,0
sen dobra değilsin sadece patavatsızsın,0
 bunlar hortumu kendilerine bağladılar kendilerine,0
o nasıl bir profil öyle ya      elbise senin de memeleri bi arkadaşından almışsın gibi ,3
 bu ne amk radyasyon mu yemiş bu adamı ne yapar,3
kes sesini bi kes allah belanı versin senin yediklerin zehir olsun içinde,0
ya noldu len alaman kafiri kibir böyle mahveder adamı işte,1
 bu zekayla zaten bir türlü twk direktorluk yapamıyorsun,0
dünden bugüne amına koduğumun oğulluğu isimli sergimizde mutlaka yer vermek isterim bu esere,3
lan sabahtan beri bir tane kiz kardeşini siktirmek isteyen bulamadim ya ,3
böyle kişilerin yorumcu olması gerçekten büyük bir terbiyesizlik,0
sude elimize bi geçsene kızımla üstünde bişey deniyecegizküçük kaltak seni,3
işin aslısı şukeşke seni hiç tanımasaydım,0
ölüsünü sikmek için çıkarayım mı morgtan,3
 ortada bir boykot var sen dizinin paralı askeri gibi  tane rt yapıyorsun çok malsın,0
  emre ve olcaydan daha çok nefret ederiz,0
vay götüm vay vay vay,3
   o kafanı bana versende bi kaç gün  rahat bi uyku çeksem,0
sınav tarihleri açıklandığı anda almazsan biletini mal gibi ortada kalırsın böyle ders olsun sana,0
evet evet taymdaki bütün kızlar sana aşık devam et orospu çocu,3
 doğru saplama   dün lacanın kadın yoktur dişi vardır sözünü paylaştım yemedigim küfür kalmadı bayan bireylerden,2
 ulkede istihdam  uretim degince aklina bu mu geliyor allah askina kadin akli iste,2
 dirara topçu diyen futboldan anlamıyordur,0
böyle orospu çocuklarına resmi kanalda işkence edeceksin izin verseler kafalarını kör bıçakla keserim amk çocukları,3
acının içindeki acı daha acı aq,3
canan kaftancıoğlu ermeni tohumu bir pkklı,1
beceremediğiniz şeyleri yapmayın mesela kaliteli insan rolleriiii,0
haklısın içimizdeki tc kimlikli ermeni rum dölü olanlarla bizde gurur duymuyoruz,1
yol sorduğum insana kadar herkes suriyeli çıkıyoryemin ediyorum örümcek ağı gibi kapladınız ülkeyi,1
bunlar türk değil ki değerlerimizi bilsin ermeni tohumu f işe httpstcostecgyttc,1
bunu giyen erkekten asla hayır gelmez googlea ibne ayakkabısı yazın bu çıkıyor,3
 hastanelik bu herif tek amacı suyu bulandırmak,0
bütün gece sigara içip twit okumaktan midem bulandı amk yaaaaa,3
gariban kürt halkını sömüren ermeni köpeklerin karşısında annelerleberaberizyasen,1
 ana kuzusu vatan evladı bir pis arap etmiyor mu,1
yaziklar olsun bir seçim için katil oldular daha ne diyeyim ki,0
 sınıfta din dersinde evrimi savunduğum için maymun diye hakarete maruz kalarak ağlatılmıştım amına koduğumun küçük yobazları yiyosa şimdi gelin darwinin mezarına doğru sikem sizi,3
bi insan sizi sevdi diye nolur hemen götünüz kalkmasın ya ,3
kırılmak ayrıküsmek ayrıben seni siktir ettim,3
ülkemde suriyeli hayatımda orospu çocuğu istemiyorum,1
yahudi yamakları pkkexecutescivilians,1
ilgi orospusu herkesi bu tiviti atmaya davet ediyorum,3
vatikan üzülmüş yunan zıplamış alman ağlamış rus köpürmüş,1
 hiç böyle güzel amcık gòrmemiştim,3
 aynen mk bi bok yaptıklarıda yok nası duruyolar hala bilmem,3
reputation hak ediyordu kimse kimseyi yemesin amk bu ne,3
sayın arkadaşlar hepinize iyi geceler diliyorum    götünüzü sikeyim,3
merkeze indim önüm arkam sağım solum suriyeli amk,3
kabe yi ingiliz köpeği suudların elinden kurtarmayı düşünüyor musunuz,1
amk salaklari penaltıyı kaçırırsanız böyle yersiniz,3
yahudi kuklası bb ,1
orospu çocukları buz gibi golü yedi,3
 ben de senin ananın resmini koyacağım metin bu millete çok hakaret ettiniz sabataist yahudi kalıntısı,1
amk pkklısı eren derdiyok artık tutuklanmalı,3
  ha sen adamı ses sanatçısı biliyorsuuunn o zaman tamam da yosun beyinli,0
dolayısıyla erkek aklına hele babasından aldığı harçlıkla atıp tutan erkeğin aklına hiç ihtiyaçları yok,2
  kupayı getirtin stada saçma sapan yorumlar yapıp operasyonu saptırma,0
benden bile aşağılıksın amcık sulanma sana koymam ,3
 offf ne guzel dostum getirsende bi siksem sende izlesen,3
  arkasina bakmadan kaciyor bunlar bir boka yarayan adaminiz yok,0
   tek bir cümlem ile çok zırladın amk,3
manken gibi kızsın oturup evde lol mu atıyorsun vizyonsuz,2
  o sondaki üzgün surat işaretinin parantezini ağzına sokarım pınar doyumsuz musun ,3
senin gibi bi dalyarak sallasa nolacak,3
yusuftosuntutuklansın   serefsiz köpek   masum bir askermiydi darbeyi yapan,0
  bu türler niye bizimalevilerin adina konusuyor,1
seküler kesimin kozmozdan elektron talep etmesi,0
 çocuğun elleri mi şiş yoksa bana mı öyle geliyor    kolluklar resmen çocuğun kan akışını kesmiş bu nasıl bir aile,0
best stalker virüsü yine siteye yayılmış suriyeli gibi bi virüs kurtulamıyoruz yapıştı resmen,1
ermeni soykırımı yapıldı diyen karaktersiz i savunanlar hangi ülkede yasamaktasiniz,1
siktir amına koduğumun bedevisi git evin salonunda mangal yap orospu çocuğu seni,3
yahudi yaksanız alkışlanırsınız bu ülkede httpstcoesmpmbz,1
  gülerim kafasında taşıdığı değeri bilmeden böyle yazan kafasızlara,0
kışın ortasında abla buram buram nasıl ter koyabiliyorsun yüzüm eridi amına koduğumun pisliği,3
ulan yolunu yordamını siktiğimin kızı insan bakışımdan bile anlar sevdiğimi amk cocu,3
insanların insan olduğunu unutmayın her şeyden önce ve kendi insanlığınızı da kaybetmeyin tiksinçsiniz,0
zeki bey çağlar on numara maklubeci şakirttir karın ağrısı ondan,0
kerhanede bomba patlasa pezevengin yarrağı elimize düşer o kadar şanssızız,3
kötü günümüzde yanımızda olmayan gereksizler iyi günümde melek kesiliyor ,0
 adamin her tarafı hava başkada birşey yok,0
  bayan kadın lütfen rica ediyorum şu ırkçılık tan vazgeçin yıllardır bu zihniyet yüzünden iki oy fazla alamıyorsunuz,2
 o zaman yapmacık davranmalarını tercih edeceğim bu nedir kibarken seviyorsun sonra bakıyorsun tam bir öküz,0
görmemiş insanlar gibi niye bi yere gittiğinizde  tane story atıyorsun,0
amına koduğumun salağına bak hem mesaj atıyo hem görüldü atıyo sen kimsin dalyarak bana görüldü atıcaksın,3
ben sizin ne istediğini bilmeyen yanınızla savaşamam,0
 şeriat düzeni ilkel değil sen ne anlarsın islamyetten çok şükür senin de adam edileceğin gün gelecek,0
oğuz sabah aksam sinek kovaliyo yeni nesil kesin beyinsiz amk,3
adamsın adam bu kadar yunan rum ermeni dölü kudurtan ,1
 boun beklersin odtünün yüz karası,0
 azgın doyumsuz karısını gizlilik içinde sanalda paylaşmayı seven gavatlar mesaj atın,3
takipçimin orospu sevgilisi  yasinda kim neler yapar diye soruyor,3
bu salağı dinleyince bunun yurt dışında insanlara bağırdığı gibi anlasın diye çomar dili ile mal mal mal diye bağırdım koduğumun soytarısı,1
 kknın adına ben utanıyorum hala nasıl oturuyor o koltukta ne yüzle,0
  olm sen salakmısın kaynak a spor aq inanmayın artık şunlara ya,3
birden bire bir gına geldi anlatamam allah belanızı versin,0
      artik birşey yapar misiniz gerçekten dalga geçiyorlar halkla ,0
ingiliz kaşığı ile arap bku yiyenler beni takipten düşsün hadi naş naşş,1
 şu saçmalığa son verin kenan cumhuriyet bebesi sultanmehmedhan,0
kılıçdaroğlu altın klozete otursun bi daha da kalkmasın ağız ishali ömür boyu geçmez,0
 o değil de ne yazip sildin onu göremedim  baya giydirmis size,0
lütfen bari kışın kapalı alanda sigara içmek serbest olsun it gibi titrerken o sigaranın bi anlamı yoğh,0
orospu çocuğu kimdir nasıl orospu çocuğu olunur mizahını siktiğim,3
sabah sabah var mı sikilmek isteyen  bursapasif bursaaktif,3
hadi ordan gavur uşaği httpstcomgscdbuabp,1
 evet sen zaten ruh hastası manyaksın unutmuşum,0
taksit sayısı a çıktı diye liralık tv alacak aklını seveyim gerzek halkımıs,0
bu hayatı yaşamamda emeği geçen herkese tekte gireyim,3
çin amerika rusya ve arap ülkeleri nerde aq şovmeni  httpstcogvbocep,1
 yalancı pezevenk sorduğun sorular aldığın cevaplar kadar yalan ,3
amına koyayım koskoca ordu ankara üzerinde gezen  tane helikopteri vurup düşüremiyor  saattir ,3
 bende seni öyle döllenek istiyorum,3
futbol şube sorumlusu olan koduğumun hobbiti transfer neyim yapıyor mu,3
güneş madem bir boka yaramayacaksın siktir git kanka be,3
 sende hiç utanma yok mu,0
allah aşkına burada soru cevap yapmak niye ya burası twitter ya buranın bi şerefi vardı içine ettiniz allah kahretsin,0
   sen devlet yayıncısı değil misin bre hadsiz,0
bu nasil bi bas agrisidir kardesim sanki beyin olusuyo kodugumun kafasin da,3
 offffff ber buna bir kere sokmak istiyorum,3
meski yine suyu kesmiş ibneler sanki alabamaya su veriyor amk,3
neyse siktir et takipçilerine baktım paralı trollmuş laf anlatmaya gerek yok böyle devam,3
kes lan  sen pkk yandasisin o co seni  siktir git ülkemden  pis köpek seni,3
 sen üreme ordan vatan haini yargı görevini yapar aynenn sana yaptığı gibi,0
sana bayram mesajı bile atasım gelmiyor artık püüh aına koduğumun kahpesi,3
izninle diye başlayıp siktir git diye bitirmiş buda kesin ikizler burcu,3
instagramda sürekli canlı yayın yapan boşluk tayfa yine online sığınaklara arkadaşlar,0
 yavşak götün yemiyor silahına güvenerek erkeklik taslamak kolay elbet devran dönecek,3
  ben böyle kötü hashtag görmedim tebrikler,0
suriyeli aile evini kaçak muayenehaneye babasının evini ecza deposuna çevirmiş httpstcoimivhtjc,1
 maç yat  golle bana kulağını tıka konuşun işareti yap amına koduğumun çocuğu,3
 insanın insanı sömürdüğü düzene karşı ama erkeğin kadını sömürdüğü düzene karşı değil,2
bu amına kodugumun hayatında kimseye zararım dokunmadı tek emin oldugum şey bu,3
 omurgasızlık diyor acaba kime diyor devrik başkan,0
bi kere de benim için gün aysın bi kere de ışıl ışıl benim için doğ amına koduğumun günü seni,3
suudlar gibi mısırın sisi si de abd ye çalışan ve onlar tarafından yönetilen yönlendirilen uşaktır,1
  samimiyseniz incirlik üssünü kapatırsın milletle kafa yapma,0
fenerbahçe admini turkuvaz medyayı nasıl tokatlamış öyle ya koçum benim,0
doğduğun gün seni babana müjdeliyenin amk beyinsiz sığır,3
kizlar alınız var diye kendinizi dünyanın merkezi ilan etmenize gerek yok,2
tiktoktaki insanlar neden bu kadar mutlusunuz orospu çocukları,3
bülent cevahir tam bir kazma eğer lens biraz akıllı olursa yol geçen hanı olur o koridor,0
içinizden en az birine yara biraktik derinde pust bırakin kim bunlar ayaklarını,3
  sence ergenliğini ispatladı mı zeki bir adamsın ama yandaşlık ağır basıyor haliyle,0
asagibakmayacagiz suriyeli gay istemiyoruz,1
kılıçdar senin kadar adamı yoran birini görmedim ben,0
  olmayı isteyip olamadığınız hayvan için yaranıza parmak bastığımdan dolayı ben sizden özür dilerim,0
çember içindeki fareye döndü hayatımız amına koduğumun dünyasında,3
at ulan atmayanın anasını s       tr      ,3
herif instagramda beatlestan şarkı paylaşmışbaba ingiliz prensi misin sen ali ece misin mq,3
 etek altı cok guzel olur ne kivirtiyor götünü ne,3
amına koduğumun quaresma fanları okuyunda kanat nasıl maç kazandırır görün adam  orta açmış sadece  ,3
annene bir şey demek istemiyorum ama orospu çocuğusun lan sen pezevenk piç,3
yemediğiniz hayvan olarak tek ben kaldım amına koduğumun çin çonları,1
amına koduğumun yerinde bir tek sizin kalbiniz kırılıyor ve hepiniz çok iyi insanlarsız,3
seni hic durmadan tam bir saat sikerim,3
  yürüyen cehalet senin gibilerle aynı havayı soluyoruz,0
sizin gibi insanların amınakoyim sizin yüzünüzden kendime bile şükretmek zorunda kalıyorum,3
siz ne değişik bi şey çıktınız yav,0
amk herkez kendini övüyo anladım kötü insanlar nerde amk,3
 kim derdi ki bir gün bu direklere oturtacaklar bizi,0
mekkenin fethini kutlamayanın şerefi yoktur nettttt,0
bu sitede ciddi ciddi elime yürüyenler var aq elime nesi estetik amınakoyduklarım el işte,3
çarşaf yahudi seviciliğidir,1
amk ne ara  oldu akskkdk,3
 iyi tarafından bak kanka ya leylaya benzeseydin ,0
 swingerin kitabını baştan yazarız o kalçalarla amk harika,3
faydalı yerine faideli diyorum çünkü arap götü yalamayı seven aptal  orospu çocuğuyum,1
hangi amına koduğumun oğlu kuran sayfası ile kokoain çektiyse çıksın tövbe etsin kardeşim,3
göğüs kıllarımı aldığım için ev halkı tarafından ibne ilan edildim,3
 lan orrrrrr kimin şike yaptığını herkes biliyo şerefsiz,3
ya sevmiyorum sevmiyecegim bundan sonra siktir git kuduz köpek gibisiniz zorla mı sevdireceksiniz,3
 ismail sende ismailağa cemaatinin üyesisin biliyorum adın ismail ve ağa torunusun tesadüf mü açıkla ,1
ya daha çekirdeği yiyeli bi saat olmadı sivilce allah belanı versin senin,0
  yaşında çocuğuna kedi saldırmış da bilmem ne işte bomboş muhabbet şov yapıyor,0
 en yakın zamanda geber orospu,3
 offff ağır laf koydun üstad,0
  beynini siktiğimin beyinsizi,3
 şakacı seniii  sanırım seçime  kala özüne döneceksin ya da dönek kalacaksın tamam mi,0
adamına göre muamele yapan insanlardan nefret ediyorumkisilere gore kibar ve özenli davranan insanlara tahammül edemiyorum,0
verdiği sevginin şovunu yapanlar sonradan genelde pezevenk oluyor,3
bir zevkimiz vardı onun da anası sikil harbiden her anlamda yarrak gibi bir gece oluyor,3
     kaçak sizin içinize sinmiş hırsızı öven arsız,0
üstün olmak için türk olmak kâfidir üstünlüğünü arapın çölünde arayanlara duyurulur,1
cevap beklemeyi sevsem mektup yazarim o amina kodugumun telefonunu yerine kalem kağıt alsaydın sen,3
kurnaz rumlar harekete geçti httpstcowyqsdsza,1
 sen sınavdan geç diye elinden geleni yapmış daha ne istiyorsun nankör ,0
sarkazm yapiyorlar anlamiyorsunuz diyen embesil nerede simdi,0
  siyonist te siyonist demek sıkıntı ise daima deriz,1
ya aktif kimse yok mu amk biri beni silksin,3
karımı böyle gece klubnde bana çaktırmadan siktirip gelse keşke offfff,3
samimiyetsiz iğrenç biriymişsin nefret ediyorum senden,0
ya yettiniz artık he taramalıyla o pis zihniyetli beyinlerinizi patlatmak istiyorum,0
ben sizin ne istediğini bilmeyen yanınızla uğraşamam,0
susamam ınşaallah müebbete döner ermeni sevici,1
 andropoz belirtisi sizde çok şey yapmayın arkadaşlar hadi burhan sende uzaklaş buralardan,0
ülkemde büyükelçi dahil suriyeli istemiyorum,1
ağız ishali olmuşsun bokunda boğul,3
   ceza evlerinden mahkumları çıkaracağına bunun gibi kansız şerefsizleri içeriye tıkayın allah belanızı versin ,0
 bunların tımar haneye atılma zamanlari gelmedimi,0
ben bu erkeklerle içki içmekten bıktım amına koduğumun erkekleri,3
acılara aldanma onlar gelip geçici benim al bayrağıma ermeni pici,1
arap dünyası fitne fesat tam gaz iflah olmazsınız httpstcobngeumrku,1
amına kodugumun görgüsüzleri zaten azıcık kar yağdı onuda oynaya oynaya bitirdiniz,3
pekiii pis arap kralı ölünce yas ilan etmiştiniz,1
 bu ne egodur yarab kız sırf egodan yapılma maşallah arada beyinde kullansalarmış keşke,0
fikrini beyan eden herkes yunan ya da amerikan köpeği oluyor ülkede ne hoş görülü bir müslüman,1
soysuz da sensin herşey de sensin nankör kedi cumhuriyet düşmanı pist yürü git köpek çağırırım bak haa ,0
siz zaten guzel olan her seye karsisiniz amina kodugumun cocuklari,3
 güvenini boşa çıkartanmı oldu totoş,0
sen de  buraya davetlisin  gte bak fasulye kadar aklıyla benimle alay edecek akodugumun trolü,3
canım okulum seni çok özledim ama içindeki öğrenci bozuntularını hiiiç,0
çok spastik şeyler var amına koyim fuck,3
temmuzları siktir ettim yaşıyorum  ayı düşündükçe seni baktim devirmişim  birayı,3
  insan ol da yeğeninin doğum gününü kutla hayvan herif,0
merhaba hanım efendi çok salaksınız acaba sizden daha önce nefret etmiş miydim,0
kadınlar çok konuşuyormuş anlayacağınızı bilsek kısada anlatırız,2
seninde yüreğin yansın başka ellerde mum gibi ,0
turkey diyorum orası nasıl diyo nasıl olabilir kardeş yarrak gibi,3
  verecek cevabım çok ama laf anlamayana ne anlatayım,0
 şu yalakaliga bir son verin biraz onurlu olun,0
gergin havalarınızı sikeyim amına koduğumun salakları sabah sabah delirdim yine,3
bu amına koduğumun yerinde birisi size o böyle böyle biridir diyince gidip kendisine sormadan nasıl inanıyosunuz,3
 senin de ağzın böyle leş gibidir,0
adama demezler mi lan ermeni dölleri çöp vergilerini ne yaptınız,1
kaçan kovalanmaz kaçan siktir olup gider,3
şu çocuğu bir temiz dövsem antidepresan kullanmayı bırakırım,0
 bunlara en büyük hizmet hayvanat bahçesine yerleştirmek olur bu gerizekalılar bi boktan anlamaz,0
  bunu öve öve bitiremeyen sen değil miydin amk,3
bir sırp filmi seni yazani yöneteni sikeyim daha igrenc bi filim izlemedim ap,3
 acınası bir insansın umarım toplumdan dışlanırsın,0
bu kahpeler sahibi arap diye dedim hem kötü hem dünya daki en pahalı intenet veriliyor türktelekom,1
sınıf arkadaşım pride paylaşımı yaptığım için beni takipten çıkmış koduğumun andavalı ya kdkdkdk,3
 nasıl bu kadar kaba olabiliyorlar uzaydan gelen savaşçı sayborg gibiler,0
çinli kahpe nerede ,1
arjantinin idmanlarda acilen  pas çalışması yapmalı ayaklarını sikiyim ben böyle takımın,3
 ne anlatıyorsun oğlum sen ya   saçma sapan,0
bi boklar yediğimde bende böyle günaydın mesajı atıyorum,0
amk kürdü kalkmış uygur türkünü savunmaya,1
 bana mı yapıyor çocuğu amk,3
yav bizim dedikodusunu yaptığımız insanın bile bi vizyonu var senin hakkında neden oturup konuşalım,0
teşbihte hata olmazmış ya yalayın bakalım sırtımızdan eksik etmedikleri arap bıçağını,1
bekar erkekler kadinlar hakkinda evli erkeklerden daha  cok sey bilirler eger bilmeselerdi onlar da evlenmis olurdu,2
porno hesapları lütfen takip etmesin ayar oluyorum  ben istediğimde izleyecek porno bulurum amina kodugumun yerinde,3
kuralı unutanlara hatırlatma fenerbahçeye oley çekilmez amına koduğumun kartalı,3
bebeğim yaza zayıf giriyorsun ama karakter olarak,0
siz kafayi yemissiniz manyaklar yarim saatte ürettiğiniz teori be öyle,0
çok vasatsın ya tahmin ettiğimden daha da ,0
kahvaltı yaparken ağzımdan çıktı orospu çocuğu,3
   bu soysuz dan herşey beklenir,0
kaltak karı gibi oynayan fener ve sikine göre oynayan biz valla cildiricam,2
sizin gibi şerlilerden ismimizi bile koruyoruz çok şükür,0
hayattaki yerim tam olarak soyle   bozuk para ihtiyaciniz varsa ezgiyi harcayin,0
önceden orospu çocukluğu bu kadar yaygın değildi şimdi twitterı kullanıyorlar böyle bir şey için,3
tiktok sunucularına acilen nükleer atılması lazım bu pislik başka türlü temizlenemez,0
bizim ülkenin insanları niye böyle salak amk suyuna yemeğine birşeymi katıyorsunuz valla söyleyin bir sebebi olmalı,3
devlet görevlileri işallah maşallah diye konuşmaz görevini yapar yapmıyorsan bas istifanı sktir git,0
  evet onlar saray gazeteci si bir de sen gibi hain gazeteciler grubu var,0
senin türbanlı islamcı götünü sikerim amınakodumun vahhabi köpeği arap dölü,1
  cevap verin var mı bir tane onurlu haysiyetli savcı çıkmaz mı mahkemelerinizden,0
